Ticker,Company Name,EADate,EATime,EATimeFlag
ACCD,Accolade,1/10/2025,9:30:13,DMH
ASA,ASA Gold & Precious,1/28/2025,8:00:00,BMO
AFRI,Forafric Global,1/16/2025,16:31:00,AMC
HTB,HomeTrust Bancshares,1/23/2025,8:32:00,BMO
FSUN,Firstsun Capital,1/27/2025,16:01:10,AMC
TBNK,Territorial Bancorp,1/31/2025,16:30:00,AMC
SBT,Sterling Bancorp,1/30/2025,7:56:00,BMO
SASR,Sandy Spring Bancorp,1/28/2025,7:00:00,BMO
FBMS,First Bancshares,1/28/2025,18:10:00,AMC
BACK,IMAC Hldgs,1/17/2025,16:06:00,AMC
PFC,Premier Financial,1/21/2025,16:15:00,AMC
CFB,CrossFirst Bankshares,1/28/2025,17:00:00,AMC
UNB,Union Bankshares,1/15/2025,15:00:00,DMH
VMAR,Vision Marine,1/13/2025,16:23:00,AMC
NB,NioCorp Developments,1/10/2025,17:30:00,AMC
MULN,Mullen Automotive,1/24/2025,9:00:00,BMO
LPL,LG Display Co,1/22/2025,6:00:00,BMO
PBM,Psyence Biomedical,1/23/2025,7:21:55,BMO
UBOH,United Bancshares,1/23/2025,16:33:00,AMC
RLI,RLI,1/22/2025,16:05:00,AMC
TSCO,Tractor Supply,1/30/2025,6:55:00,BMO
HTHIY,Hitachi,1/31/2025,7:00:00,BMO
TANH,Tantech Hldgs,1/2/2025,8:00:00,BMO
RILY,B. Riley Financial,1/14/2025,6:04:00,BMO
IBN,ICICI Bank,1/25/2025,8:00:00,BMO
XIFR,XPLR Infrastructure,1/28/2025,7:30:00,BMO
MLEC,Moolec Science,1/31/2025,16:06:00,AMC
BOTJ,Bank of the James Finl Gr,1/31/2025,12:00:00,DMH
VBFC,Village Bank & Trust Finl,1/31/2025,8:45:00,BMO
BRID,Bridgford Foods,1/29/2025,17:29:00,AMC
SMFG,Sumitomo Mitsui Finl Gr,1/29/2025,8:00:00,BMO
CP,Canadian Pacific Kansas,1/29/2025,16:05:00,AMC
JVA,Coffee Holding Co,1/31/2025,17:26:00,AMC
SRBK,SR Bancorp,1/31/2025,16:36:31,AMC
PBHC,Pathfinder Bancorp,1/31/2025,16:17:00,AMC
AFBI,Affinity Bancshares,1/31/2025,16:30:00,AMC
ORRF,Orrstown Finl Servs,1/31/2025,7:22:00,BMO
CIZN,Citizens Holding,1/31/2025,9:00:00,BMO
OPY,Oppenheimer Hldgs,1/31/2025,8:00:00,BMO
